INFO  - 2017-04-06 20:28:46.539; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2017-04-06 20:28:46.556; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/contexts at interval 0
INFO  - 2017-04-06 20:28:46.560; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/contexts/solr-jetty-context.xml
INFO  - 2017-04-06 20:28:47.294; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2017-04-06 20:28:47.339; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2017-04-06 20:28:47.348; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2017-04-06 20:28:47.348; org.apache.solr.core.SolrResourceLoader; using system property solr.solr.home: /Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr
INFO  - 2017-04-06 20:28:47.349; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr/'
INFO  - 2017-04-06 20:28:47.454; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr/solr.xml
INFO  - 2017-04-06 20:28:47.517; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr
INFO  - 2017-04-06 20:28:47.523; org.apache.solr.core.CoreContainer; New CoreContainer 1150963491
INFO  - 2017-04-06 20:28:47.523; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr/]
INFO  - 2017-04-06 20:28:47.531; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2017-04-06 20:28:47.531; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2017-04-06 20:28:47.535; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2017-04-06 20:28:47.535; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2017-04-06 20:28:47.537; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2017-04-06 20:28:47.537; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2017-04-06 20:28:47.538; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2017-04-06 20:28:47.538; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2017-04-06 20:28:47.539; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2017-04-06 20:28:47.680; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
INFO  - 2017-04-06 20:28:47.682; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2017-04-06 20:28:47.682; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2017-04-06 20:28:47.683; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2017-04-06 20:28:47.731; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr
INFO  - 2017-04-06 20:28:47.746; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr/collection1/
INFO  - 2017-04-06 20:28:47.747; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2017-04-06 20:28:47.748; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/example/solr/collection1/'
INFO  - 2017-04-06 20:28:47.830; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2017-04-06 20:28:47.831; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2017-04-06 20:28:47.832; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2017-04-06 20:28:47.832; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2017-04-06 20:28:47.832; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2017-04-06 20:28:47.832; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2017-04-06 20:28:47.833; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2017-04-06 20:28:47.833; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2017-04-06 20:28:47.833; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2017-04-06 20:28:47.834; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2017-04-06 20:28:47.834; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2017-04-06 20:28:47.834; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2017-04-06 20:28:47.835; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2017-04-06 20:28:47.835; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2017-04-06 20:28:47.835; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
INFO  - 2017-04-06 20:28:47.835; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2017-04-06 20:28:47.836; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2017-04-06 20:28:47.836; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/pdfbox-1.8.4.jar' to classloader
INFO  - 2017-04-06 20:28:47.836; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2017-04-06 20:28:47.836; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/poi-ooxml-3.10.1.jar' to classloader
INFO  - 2017-04-06 20:28:47.837; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2017-04-06 20:28:47.837; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2017-04-06 20:28:47.837; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2017-04-06 20:28:47.837; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/mumoc/projects/magmalabs/sunspot/sunspot_solr/solr/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
